CLASS_LVL,GENDER,MAJOR,PREV,LECATTEND,DISCATTEND,FINAL,FINALQ
3,1,3,1,1,2,68,2
3,2,10,1,2,2,67,2
3,2,4,2,3,3,66,2
3,1,11,2,2,2,64,2
3,1,11,1,2,2,62,2
3,2,5,1,2,2,62,2
3,2,4,1,3,3,61,2
3,2,9,2,3,3,58,2
3,2,10,1,2,3,58,2
3,2,4,2,3,3,57,2
3,2,10,2,1,3,56,1
3,2,7,1,2,2,55,1
3,1,8,1,2,3,54,1
3,2,8,1,2,2,40,1
3,1,3,1,1,1,30,1
3,2,11,2,2,2,24,1
3,1,8,1,3,3,23,1
3,2,4,1,2,3,19,1
3,2,8,1,2,2,19,1
3,2,11,1,2,3,17,1
3,2,11,1,3,3,16,1
3,2,11,3,3,3,14,1
3,1,8,1,2,2,11,1
3,2,3,2,1,1,7,1
2,2,12,3,3,3,33,1
2,2,8,3,2,2,3,1
2,1,2,1,2,2,59,2
2,2,10,3,2,2,11,1
2,2,10,2,3,2,47,1
2,1,12,1,1,1,36,1
2,1,6,3,3,3,65,2
2,2,1,3,3,3,2,1
2,2,6,3,3,3,26,1
2,2,12,1,3,3,75,3
2,2,7,1,1,1,20,1
2,2,8,3,3,3,24,1
2,2,1,2,3,3,19,1
2,2,2,1,2,3,47,1
2,2,7,2,3,3,68,2
2,1,3,1,1,2,63,2
2,1,7,2,3,1,76,3
2,2,12,1,2,3,25,1
2,2,11,1,2,1,71,2
2,2,12,1,3,2,57,2
2,2,2,2,3,3,47,1
2,2,8,1,2,3,76,3
2,2,11,1,2,3,20,1
2,2,7,1,3,3,78,3
2,2,3,1,3,3,64,2
2,2,12,1,1,2,72,2
2,2,1,1,3,3,72,2
2,1,3,1,3,3,58,2
2,2,3,1,2,3,68,2
2,2,12,1,3,1,30,1
2,1,12,2,1,3,74,2
2,2,12,1,3,3,64,2
2,2,2,2,3,2,63,2
2,2,12,1,3,3,83,3
2,2,8,1,3,3,51,1
2,1,11,1,1,1,88,3
2,2,12,2,1,3,55,1
2,2,11,1,2,1,69,2
2,2,6,3,3,1,46,1
2,2,2,1,2,3,73,2
2,2,7,3,3,3,77,3
2,2,11,1,1,3,82,3
2,2,12,2,2,3,82,3
2,2,10,3,3,3,50,1
2,1,10,1,2,3,48,1
2,1,8,1,1,3,16,1
2,1,8,1,1,1,96,4
2,2,11,1,1,3,32,1
2,1,8,2,3,2,71,2
2,2,1,2,3,3,83,3
2,2,1,3,3,3,92,4
2,2,11,1,2,1,71,2
2,2,8,1,1,3,76,3
2,2,11,3,3,1,63,2
2,2,1,1,1,1,26,1
2,2,8,1,3,3,64,2
2,2,6,2,3,2,62,2
2,2,2,1,3,2,68,2
2,2,8,1,1,3,94,4
2,1,8,1,2,1,93,4
2,2,9,1,3,3,65,2
2,1,9,1,2,1,66,2
2,2,4,1,3,1,35,1
2,2,9,1,3,3,84,3
2,2,12,1,1,1,78,3
2,2,6,2,3,3,40,1
2,2,4,1,1,1,68,2
2,2,12,1,2,3,57,2
2,2,6,1,2,3,67,2
2,1,8,1,1,2,87,3
2,1,8,1,3,3,91,4
2,2,6,2,3,3,95,4
2,2,2,1,3,1,96,4
2,1,2,1,2,1,100,4
2,1,1,1,3,1,98,4
2,2,12,1,1,1,92,4
2,2,6,1,3,3,63,2
2,2,1,2,2,2,98,4
2,2,7,2,2,2,79,3
2,2,6,2,3,3,74,2
2,2,7,1,3,2,96,4
2,2,11,2,3,3,58,2
2,2,8,1,3,2,78,3
2,2,12,1,3,1,97,4
2,1,12,1,2,3,97,4
2,2,8,1,1,1,92,4
2,2,3,2,1,1,90,4
2,2,1,3,2,3,78,3
2,2,7,2,3,1,90,4
2,2,1,3,1,1,92,4
2,1,6,1,1,1,72,2
2,2,2,1,2,3,85,3
2,2,2,1,1,2,97,4
2,1,6,1,3,3,75,3
2,1,11,1,2,1,63,2
2,2,6,2,3,3,98,4
2,1,4,2,3,3,56,1
2,1,6,1,1,1,78,3
2,2,11,3,2,1,86,3
2,1,2,1,2,3,75,3
2,2,8,3,3,3,88,3
2,2,6,3,3,3,93,4
2,2,2,1,1,2,97,4
2,1,8,1,1,1,96,4
2,2,8,3,3,1,95,4
2,1,6,2,2,1,87,3
2,2,7,3,2,3,82,3
2,1,11,1,1,3,89,4
2,1,6,2,1,1,80,3
2,1,12,3,1,1,86,3
2,2,11,2,2,2,99,4
2,1,11,1,1,1,81,3
2,2,1,1,3,1,87,3
2,2,6,2,3,3,90,4
2,2,12,2,2,3,90,4
2,2,4,2,3,3,86,3
2,2,9,2,3,3,60,2
2,1,8,1,3,1,75,3
2,2,12,1,1,1,88,3
2,2,12,3,2,3,93,4
2,2,11,1,2,3,96,4
2,1,11,2,3,2,95,4
2,2,7,1,3,3,84,3
2,1,8,1,3,1,80,3
2,2,4,2,3,3,88,3
2,2,9,3,3,3,73,2
2,1,8,1,1,3,77,3
2,2,11,1,2,2,57,2
2,1,10,1,2,1,73,2
2,1,10,1,3,1,71,2
2,1,2,1,2,1,95,4
2,1,10,1,1,2,65,2
2,2,8,1,3,3,86,3
2,2,7,3,1,2,53,1
2,2,7,1,3,3,80,3
2,2,9,2,3,3,73,2
2,2,12,3,2,3,28,1
2,1,8,1,3,3,63,2
2,1,11,1,2,1,28,1
2,1,8,3,3,3,56,1
2,1,1,1,2,2,27,1
2,2,8,1,3,3,93,4
2,2,2,3,1,1,87,3
2,1,8,1,3,3,99,4
2,2,10,1,2,2,2,1
2,1,1,1,3,3,92,4
2,1,8,3,2,2,62,2
2,1,9,3,2,2,29,1
2,2,12,1,2,2,9,1
2,2,9,2,1,1,80,3
2,2,7,1,3,3,79,3
2,1,4,1,2,3,81,3
2,1,11,1,1,3,65,2
2,2,12,2,1,3,95,4
2,2,7,3,3,3,86,3
2,1,12,1,2,2,19,1
2,2,4,1,2,2,20,1
2,2,8,1,3,3,26,1
2,1,2,3,3,3,66,2
2,2,12,2,2,2,62,2
2,2,8,2,3,3,96,4
2,2,4,1,3,3,57,2
2,2,12,3,1,3,80,3
2,2,6,3,3,3,86,3
2,2,12,2,3,1,88,3
2,2,10,1,3,1,95,4
2,2,12,3,3,3,71,2
2,2,6,1,2,3,85,3
2,1,7,3,3,3,57,2
2,2,6,1,2,2,19,1
2,2,6,3,3,2,88,3
2,2,12,2,2,2,75,3
2,2,8,3,2,2,30,1
2,2,9,1,1,3,86,3
2,2,8,2,2,3,9,1
2,2,4,1,2,2,61,2
2,2,11,3,3,3,12,1
2,2,4,1,3,3,75,3
2,2,8,2,3,3,85,3
2,2,6,3,3,3,0,1
2,2,1,1,1,3,86,3
2,1,11,1,1,1,57,2
2,2,8,1,2,1,0,1
2,2,10,3,1,3,84,3
2,2,6,3,3,3,78,3
2,2,12,1,2,3,68,2
2,2,1,3,1,2,100,4
2,2,6,3,3,3,100,4
2,1,5,1,1,1,60,2
2,2,5,1,1,1,30,1
2,2,8,1,3,3,80,3
2,2,10,1,3,3,10,1
2,2,6,1,2,2,66,2
2,2,12,1,1,1,40,1
2,2,6,3,3,3,78,3
2,2,10,1,1,3,66,2
2,2,9,2,3,3,89,4
2,2,4,2,3,3,62,2
2,1,10,1,2,2,95,4
2,2,11,2,1,2,2,1
2,2,9,2,3,3,87,3
2,1,4,2,3,3,88,3
2,2,2,2,3,3,32,1
2,2,6,2,1,1,70,2
2,2,7,1,1,1,33,1
2,1,12,1,1,1,99,4
2,2,6,1,1,1,55,1
2,2,2,1,3,2,55,1
2,2,6,1,1,1,95,4
2,2,2,1,3,3,81,3
2,2,3,1,3,3,0,1
2,1,11,1,2,3,71,2
2,2,8,2,3,3,72,2
2,2,3,1,1,1,65,2
2,2,9,2,3,3,82,3
2,2,10,2,3,2,18,1
2,2,11,1,1,1,73,2
2,2,8,1,2,3,65,2
2,2,7,1,1,3,78,3
2,2,8,1,2,2,68,2
2,2,3,2,3,3,88,3
2,1,3,1,1,2,76,3
2,2,8,1,2,2,43,1
2,1,11,1,1,1,68,2
2,1,8,1,1,1,0,1
2,2,11,1,2,2,19,1
2,1,2,1,2,2,76,3
2,1,8,1,1,1,69,2
2,2,10,1,1,1,100,4
2,2,6,2,3,3,45,1
2,2,12,1,1,1,96,4
2,1,6,2,2,1,20,1
2,1,8,1,2,2,90,4
2,2,8,1,3,3,90,4
2,1,8,1,3,3,83,3
2,2,11,1,1,1,0,1
